"ESTU_GENERO","ESTU_FECHANACIMIENTO","PERIODO","YEAR","ESTU_DEPTO_RESIDE","ESTU_MCPIO_RESIDE","FAMI_ESTRATOVIVIENDA","COLE_BILINGUE","COLE_CARACTER","PUNT_LECTURA_CRITICA","PUNT_MATEMATICAS","PUNT_SOCIALES_CIUDADANAS","PUNT_C_NATURALES","PUNT_INGLES","PUNT_GLOBAL","DESEMP_LECTURA_CRITICA","DESEMP_MATEMATICAS","DESEMP_C_NATURALES","DESEMP_SOCIALES_CIUDADANAS","DESEMP_INGLES","ESTU_INSE_INDIVIDUAL","ESTU_NSE_INDIVIDUAL"
"F",2006-01-19,20224,"2022","BOLIVAR","CARTAGENA DE INDIAS","Estrato 1","N","TÉCNICO/ACADÉMICO",49,57,48,47,48,250,2,3,2,2,"A1",54.2656820315685,3
"F",2003-06-24,20224,"2022","SUCRE","SINCELEJO","Sin Estrato","N","TÉCNICO",40,41,33,32,39,183,2,2,1,1,"A-",63.4311446480003,3
"M",1987-10-05,20204,"2020","HUILA","PITALITO","Estrato 3","N","ACADÉMICO",42,32,38,38,38,188,2,1,1,1,"A-",47.1319758701572,2
"M",2002-07-03,20204,"2020","CUNDINAMARCA","CHÍA","Estrato 2","N","ACADÉMICO",52,61,38,44,42,241,3,3,2,1,"A-",60.8680946838819,3
"M",2004-11-04,20214,"2021","ATLANTICO","BARRANQUILLA","Estrato 3","N","ACADÉMICO",46,47,38,47,29,217,2,2,2,1,"A-",49.0431389680811,2
"M",2005-04-14,20214,"2021","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",70,68,58,58,72,321,4,3,3,3,"B1",69.9595722286223,4
"M",2004-01-12,20204,"2020","ANTIOQUIA","YALÍ","Estrato 2","N","ACADÉMICO",46,31,31,26,35,168,2,1,1,1,"A-",38.5382044319415,1
"F",2006-01-25,20224,"2022","ATLANTICO","BARRANQUILLA","Estrato 2","N","ACADÉMICO",42,46,43,42,39,215,2,2,2,2,"A-",57.652372124547,3
"F",2006-07-21,20224,"2022","NARIÑO","PUERRES","Estrato 1","N","ACADÉMICO",62,55,54,56,46,280,3,3,3,2,"A-",44.7827437598682,2
"M",2006-10-14,20234,"2023","CAUCA","POPAYÁN","Estrato 4","N","TÉCNICO/ACADÉMICO",39,29,43,35,40,184,2,1,1,2,"A-",50.3684921556378,2
"F",2006-05-30,20234,"2023","BOGOTÁ","BOGOTÁ D.C.","Estrato 4","N","ACADÉMICO",80,71,78,64,74,367,4,4,3,4,"B1",66.8916811454059,4
"F",2004-09-22,20224,"2022","BOGOTÁ","BOGOTÁ D.C.","Estrato 1","N","ACADÉMICO",59,54,49,46,55,261,3,3,2,2,"A1",33.9141941448764,1
"F",2005-08-03,20234,"2023","ANTIOQUIA","ITAGÜÍ","Estrato 5","N","ACADÉMICO",67,71,66,60,79,335,4,4,3,3,"B+",63.1852356684312,3
"F",1978-10-25,20204,"2020","TOLIMA","IBAGUÉ","Estrato 2","N","ACADÉMICO",54,49,32,30,43,207,3,2,1,1,"A-",38.72718433546,1
"F",2003-05-19,20234,"2023","TOLIMA","PURIFICACIÓN","Sin Estrato","N","TÉCNICO/ACADÉMICO",59,44,51,42,47,244,3,2,2,2,"A-",42.7298200277076,2
"M",2006-08-24,20234,"2023","BOYACA","TUTA","Estrato 1","N","ACADÉMICO",68,66,69,65,59,332,4,3,3,3,"A2",34.6153885763641,1
"M",2003-07-15,20224,"2022","AMAZONAS","LA CHORRERA","Estrato 4","S","ACADÉMICO",27,29,34,38,32,160,1,1,1,1,"A-",42.9652532526653,2
"F",2004-02-21,20204,"2020","VALLE","TRUJILLO","Estrato 2","N","TÉCNICO",42,39,35,39,52,199,2,2,1,1,"A1",59.7588975675734,3
"F",2005-01-03,20224,"2022","CAUCA","SANTANDER DE QUILICHAO","Sin Estrato","N","ACADÉMICO",44,38,33,37,35,189,2,2,1,1,"A-",NA,NA
"M",2004-12-08,20214,"2021","SANTANDER","FLORIDABLANCA","Estrato 4","N","TÉCNICO/ACADÉMICO",72,71,67,62,80,345,4,4,3,3,"B+",72.6424039166955,4
"F",2004-03-28,20214,"2021","AMAZONAS","LETICIA","Estrato 1","N","TÉCNICO/ACADÉMICO",61,52,54,47,52,267,3,3,2,2,"A1",40.333291392621,1
"F",2005-08-15,20214,"2021","BOGOTÁ","BOGOTÁ D.C.","Estrato 2","N","ACADÉMICO",43,44,36,41,30,201,2,2,2,1,"A-",55.4640133775927,3
"M",2006-01-30,20234,"2023","CAUCA","INZÁ","Estrato 1","N","ACADÉMICO",54,54,44,49,51,252,3,3,2,2,"A1",35.6494487222862,1
"F",2003-07-16,20214,"2021","META","VILLAVICENCIO","Estrato 3","N","NO APLICA",41,45,27,42,34,192,2,2,2,1,"A-",39.0193779561362,1
"M",2003-08-06,20214,"2021","LA GUAJIRA","VILLANUEVA","Estrato 2","N","ACADÉMICO",42,41,31,40,38,192,2,2,1,1,"A-",40.790075305025,1
"M",2005-07-21,20214,"2021","CORDOBA","MONTERÍA","Estrato 5","N","ACADÉMICO",55,50,38,44,37,230,3,2,2,1,"A-",47.057287948252,2
"M",2006-09-08,20234,"2023","BOLIVAR","EL CARMEN DE BOLÍVAR","Estrato 1","N","ACADÉMICO",49,42,46,53,43,236,2,2,2,2,"A-",36.6586728071232,1
"F",2002-11-24,20204,"2020","SUCRE","BUENAVISTA","Estrato 1","N","ACADÉMICO",57,54,51,42,42,252,3,3,2,2,"A-",50.6067333457002,2
"M",2003-09-02,20204,"2020","NARIÑO","PASTO","Estrato 1","N","ACADÉMICO",49,60,58,48,53,268,2,3,2,3,"A1",50.1175165782939,2
"F",2005-01-25,20224,"2022","HUILA","GARZÓN","Estrato 2","N","ACADÉMICO",54,44,44,46,41,233,3,2,2,2,"A-",50.2817650207624,2
"M",2002-01-22,20214,"2021","ATLANTICO","BARRANQUILLA","Estrato 1","N","ACADÉMICO",40,49,55,45,47,236,2,2,2,2,"A-",46.8845598763322,2
"F",2005-05-13,20231,"2023","ANTIOQUIA","ENVIGADO","Estrato 6","S","ACADÉMICO",61,64,71,61,82,328,3,3,3,4,"B+",64.2360773997119,4
"F",2005-10-11,20224,"2022","ANTIOQUIA","TURBO","Estrato 2","N","TÉCNICO/ACADÉMICO",49,46,39,52,44,232,2,2,2,1,"A-",56.3890624994495,3
"F",2008-03-15,20234,"2023","MAGDALENA","SITIONUEVO","Estrato 2","N","ACADÉMICO",46,38,38,31,34,190,2,2,1,1,"A-",38.60363172765,1
"F",2004-08-13,20204,"2020","CUNDINAMARCA","CÁQUEZA","Estrato 2","N","ACADÉMICO",61,68,61,60,56,310,3,3,3,3,"A1",60.3618039019337,3
"M",2004-08-22,20214,"2021","MAGDALENA","FUNDACIÓN","Sin Estrato","N","TÉCNICO/ACADÉMICO",56,51,42,44,44,240,3,3,2,2,"A-",47.8556068570652,2
"F",2007-10-16,20234,"2023","NARIÑO","PROVIDENCIA","Estrato 1","N","TÉCNICO/ACADÉMICO",58,50,57,60,54,280,3,2,3,3,"A1",30.5025626721836,1
"M",2003-11-21,20204,"2020","BOLIVAR","TURBACO","Estrato 1","N","ACADÉMICO",52,47,43,48,48,238,3,2,2,2,"A1",53.363758159656,3
"M",2005-03-31,20214,"2021","QUINDIO","ARMENIA","Estrato 2","N","TÉCNICO/ACADÉMICO",56,49,36,41,37,224,3,2,2,1,"A-",45.5375366130435,2
"M",2002-05-06,20204,"2020","LA GUAJIRA","MAICAO","Sin Estrato","N","NO APLICA",41,52,48,43,41,228,2,3,2,2,"A-",39.2526878452479,1
"F",2005-07-31,20224,"2022","BOYACA","TUNJA","Estrato 1","N","TÉCNICO/ACADÉMICO",63,66,63,57,64,312,3,3,3,3,"A2",54.9729544796683,3
"M",2005-10-25,20224,"2022","BOGOTÁ","BOGOTÁ D.C.","Estrato 3","N","NO APLICA",49,53,51,53,55,259,2,3,2,2,"A1",49.9513389110075,2
"F",2004-09-21,20214,"2021","BOLIVAR","CARTAGENA DE INDIAS","Sin Estrato","N","ACADÉMICO",60,29,56,42,48,234,3,1,2,3,"A1",NA,NA
"F",2004-04-15,20224,"2022","ANTIOQUIA","TURBO","Estrato 1","N","TÉCNICO/ACADÉMICO",34,32,33,35,35,168,1,1,1,1,"A-",43.8583644322881,2
"F",2006-02-07,20224,"2022","BOLIVAR","CARTAGENA DE INDIAS","Estrato 1","N","NO APLICA",58,44,40,42,33,225,3,2,2,1,"A-",48.4816915119157,2
"M",2005-09-21,20234,"2023","ANTIOQUIA","MEDELLÍN","Estrato 4","N","TÉCNICO/ACADÉMICO",50,39,47,42,41,221,2,2,2,2,"A-",56.7822894551284,3
"F",2003-09-25,20204,"2020","CALDAS","ANSERMA","Estrato 3","N","TÉCNICO/ACADÉMICO",57,52,54,44,40,254,3,3,2,2,"A-",55.373538227621,3
"M",2006-03-14,20234,"2023","ANTIOQUIA","MEDELLÍN","Estrato 2","N","TÉCNICO/ACADÉMICO",49,49,49,43,47,237,2,2,2,2,"A-",41.1637262241968,2
"F",2005-03-11,20214,"2021","CAQUETA","SAN VICENTE DEL CAGUÁN","Estrato 1","N","ACADÉMICO",68,53,61,55,45,291,4,3,2,3,"A-",38.674388357089,1
